,User,Date,Tweet,Tweets Ago,Compound,Negative,Neutral,Positive
0,@BBCNews,Sat Sep 22 23:52:48 +0000 2018,Manchester United 1-1 Wolves: Joao Moutinho earns visitors draw at Old Trafford https://t.co/IPF8uLZJgI,1,0.4215,0.811,0.0,0.189
1,@BBCNews,Sat Sep 22 23:41:49 +0000 2018,Abhilash Tomy: Rescue mission to reach injured Indian sailor https://t.co/PgbXbYDqO2,2,0.1779,0.496,0.191,0.312
2,@BBCNews,Sat Sep 22 22:45:50 +0000 2018,Newspaper headlines: Labour on EU vote and 'snap election plot' https://t.co/wDcFMh2IUb,3,0.0,1.0,0.0,0.0
3,@BBCNews,Sat Sep 22 21:53:48 +0000 2018,Antony Joshua stops Alexander Povetkin to retain world heavyweight titles https://t.co/4BrenuRS3c,4,-0.1531,0.862,0.138,0.0
4,@BBCNews,Sat Sep 22 21:46:33 +0000 2018,"RT @BBCSport: Anthony Joshua wins! 🥊

He’s won by knockout in round 7!

AJ retains his heavyweight titles. 

Live reaction https://t.co/e2u…",5,0.8395,0.693,0.0,0.307
5,@BBCNews,Sat Sep 22 20:10:22 +0000 2018,"Labour 'must listen' to members on people's vote, says Tom Watson https://t.co/nKv7TS39cV",6,0.0,1.0,0.0,0.0
6,@BBCNews,Sat Sep 22 19:14:06 +0000 2018,Brighton &amp; Hove Albion 1-2 Tottenham Hotspur https://t.co/kt8kY6EvoJ,7,0.0,1.0,0.0,0.0
7,@BBCNews,Sat Sep 22 18:52:01 +0000 2018,Kavanaugh accuser 'to testify next week' https://t.co/bUY1zzkTCM,8,0.0,1.0,0.0,0.0
8,@BBCNews,Sat Sep 22 18:23:17 +0000 2018,Comcast outbids Fox for broadcaster Sky https://t.co/jcqAWVIHnc,9,0.0,1.0,0.0,0.0
9,@BBCNews,Sat Sep 22 17:12:12 +0000 2018,Iran blames Gulf rivals for deadly Ahvaz attack https://t.co/YLejobUXtk,10,-0.7003,0.547,0.453,0.0
10,@BBCNews,Sat Sep 22 16:55:55 +0000 2018,Co-op to replace plastic bags with compostable carriers https://t.co/Bzdu3bhrvr,11,0.0,1.0,0.0,0.0
11,@BBCNews,Sat Sep 22 16:45:07 +0000 2018,"RT @bbcweather: Active Aurora this evening and tomorrow night – KP of 4 or 5, which means it could be visible from parts of N Ireland, Scot…",12,0.4019,0.895,0.0,0.105
12,@BBCNews,Sat Sep 22 16:42:11 +0000 2018,"Premier League: Liverpool and Man City cruise to wins, Man Utd draw https://t.co/kLiWgOBAUH",13,0.5719,0.764,0.0,0.236
